Ramses II,ရမ်စိစ်သည်တူး,
UPS,ယူပီအက်စ်,
Lowell Nussbaum Society,လိုဝဲလ်နပ်စ်ဘောင်မ် အဖွဲ့အစည်း,
FOREVER PLAID,ဖော်အဲဗားပလဲ့က်ဒ်,
Virginia,ဗာဂျီးနီးယား,
dents,အပွန်းအပဲ့,
dystopian,ဒစ်စတိုပီယံ,
tax credit,အခွန်ခရက်ဒစ်,
Muhammed,မိုဟာမတ်,
July,ဇူလိုင်,
Jesus,ယေရှု,
Kinsman,ဆွေမျိုးနီးစပ်,
Parque de Palapas,ပါရတ်ကတ်ဒီပလပတ်စ်,
Bridgetown,ဘရစ်ချ်တောင်း,
Perak Tong,ပဲရက်တွန်း,
Beijing,ပေကျင်း,
New Brunswick,နယူးဘန်းစ်ဝှစ်က်,
Payangan,ပရန်ဂန်,
Batur,ဘတ်တိုရှ်,
San Francisco,ဆန်ဖရန်စစ္စကို,
Golden Mile,ဂိုးလ်ဒန်း မိုင်,
Bahamian,ဘဟေးမီးယား,
Ming Tombs,မင် ဂူဗိမာန်,
Andrea Doria,အမ်းဒရူး ဒိုရီယာ,
Kublai Khan,ကူဗလိုင်ခန် ,
Metaxas,မက်တာဆက်,
Montserrat,မောင့်ဆဲရတ်,
Sailor's House,စေးလားဟောက်စ်,
Kinabalu,ကီနာဘာလု,
Glasgow Lakes,ဂလပ်စဂိုး ရေကန်,
John Deer Lake,ဂျွန် ဒီးယား ရေကန်,
Napoleon,နပိုလီယံ,
Puerto Rican,ပွာတို ရီကန် ,
Carribean,ကာရေဘီယံ,
Treasure Beach,ထရေးရှား ကမ်းခြေ,
Nevada Fall,နီဗားဒါး ရေတံခွန်,
Montesserant,မောင့်ဆရပ်,
Rejan,ရဂျန်,
Megaron,မာဂရွန်,
Mercat de la Cantaloupe,မာကတ်ဒီလကန်တယ်လုပ်,
Lagun Nichupte,လဂန်းနီချောက်ပ်,
Arabella,အာရာဘဲလာ,
Wolverstone,ဝူဗာစတုန်း,
Captain,ကပ္ပတိန်,
Calverly,ကယ်လ်ဗာလေ,
Cleverly,ကယ်လ်ဗာလေ,
frigate,ဖရီးဂိတ်သင်္ဘော,
Batman,ဘတ်မန်း,
Port Royal,ပေါ့ ရိုင်ရယ်,
Canada,ကနေဒါ,
Egyptian,အီဂျစ်,
Taiwan,ထိုင်ဝမ်,
Na Pali Coast,ငပလီ ကမ်းခြေ,
Seven Gables,ဆဲဗင်း ဂလ်စ်,
Italian,အီတလီ,
Milreu,မေးလ်ရု ,
Greece,ဂရိ,
Sant Pau,ဆန့်ပေါ,
Common Market,ကွန်မွန်း မားကတ်,
Megaro Mousikis Metro,မီဂရို မောက်စီကစ် မီထရို,
Olympieion,အိုလံပီယွန်,
Poble Espanyol,ပိုဘဲလ် အက်စ်ပန်ညော်,
Singel,ဆင်ဂဲလ်,
Dora Stratou Folk Dance,ဒိုရာ စတရာတု ဖော့ခ် ဒန့်,
Philopappos,ဖီလိုပတ်ပိုစ့်,
Baroque,ဘာရိုကျူ့,
Scafell Pike,စကဖဲလ် ပိုက်ခ်,
Bona,ဘိုနာ,
kecak,ကီးကပ်,
jazz clubs,ဂျက်ဇ် ကလပ်,
Los Angeles,လော့စ် အိန်ဂျလိစ်,
Karl-Marx-Allee,ကာလ်-မာစ်-အယ်လီး,
Nafplio,နာဖလီယို,
Puerto Rico,ပွာတို ရီကို,
St. Thomas,စိန့် သော်မတ်စ်,
Umeda,ယူမီဒါ,
Brahma,ဗြဟ္မာ,
Saguenay River,စောက်ဂူနေ မြစ်,
The 1896 Neo-Gothic Calvinist Church,၁၈၉၆ နီယို-ဂေါ့သစ် ကယ်လ်ဗီနစ် ဘုရားကျောင်း,
Balza,ဘလ်ဇာ,
Delacroix,ဒဲလာခရိုစ်,
Spartans,စပါတာများ,
Thermopylae,သာမောပလီး,
Otto Frank,အော်တိုဖရန့်,
Nazis,နာဇီ,
Weltkugelbrunnen,ဝက်ခ်ခရူးဂျဲဘန်းနန်း,
Sqamish,စကွေးမစ်ရှ်,
Loyal Senate,ရွိုင်ရယ် ဆီးနိတ် ,
Coniera,ကိုနီရာ,
Sant Antoni Bay,ဆန့် အန်တိုနီ ပင်လယ်အော်,
Jerusalem,ဂျေရုဆလင်,
Hawthorne,ဟောသရုန်း,
Main,မိန်း,
Pinckney,ပင့်ခ်နေ,
La'al Ratty,လာရယ် ရက်တီ,
One Vegas,ဝမ်း ဗီးဂတ်စ် ,
Boston,ဘော်စတွန်,
James Cook,ဂျိမ်းစ် ကွတ်,
Hawaii,ဟာဝိုင်အီ,
California,ကယ်လီဖိုးနီးယား,
Batu Hitam,ဘတူး ဟီတန် ,
Moors ,မောလ်,
Almohads,အယ်မိုဟာဒ်,
Kuala Perlis,ကွာလာပါလစ်,
Kangar,ကန်ဂါး,
Noske,နိုစ်ကီ,
Bali,ဘာလီ,
British,ဗြိတိန်,
macedonia,မက်ဆီဒိုးနီးယား,
Carrer dels Banys Nous,ကာရာ ဒဲလ် ဘန်းန် နှောက်စ်,
Albuferia,အလ်ဗူးဖီးရီးယား,
Whitehorse,ဝှိုက်ဟော့စ်,
Errol Flynn,အယ်ရို ဖလင်း,
Computer City,ကွန်ပျူတာ စီးတီး,
Star House,စတား ဟောက်စ်,
Cala Mondrage,ကာလာ မွန်ဒရေချ်,
Pierre,ပီယား,
McKim Mead,မက်ကင် မဒ်,
pachuco,ပါချူကို,
Relajo,ရီလေးဂျို,
New Mexico,နယူး မက္ကဆီကို,
moradas,မိုရာဒါများ,
Wallis,ဝဲလစ်,
Varjabedian,ဗာဂျဗီးဒီးယမ်း,
Linda Katz,လင်ဒါ ကတ်ဇ်,
CEO,စီအီးအို,
Hominids,ဟိုမီနီဒ်,
Barbados,ဘာဘေးဒိုးစ်,
Royal Mary,ရွိုင်ရယ် မယ်ရီ,
Blue Teacup,ဘလူး တီးကပ်,
